# wheel sector station super_layer layer wire local_x local_y local_z global_x global_y global_z phi eta length
-2 1 1 1 4 6 -83.5000 0.0000 9.8000 421.3750 -44.3800 -533.3500 -0.1049 -1.0531 234.8000
-2 1 1 1 4 7 -79.3000 0.0000 9.8000 421.3750 -40.1800 -533.3500 -0.0951 -1.0538 234.8000
-2 1 1 1 4 8 -75.1000 0.0000 9.8000 421.3750 -35.9800 -533.3500 -0.0852 -1.0545 234.8000
-2 1 1 1 4 9 -70.9000 0.0000 9.8000 421.3750 -31.7800 -533.3500 -0.0753 -1.0552 234.8000
-2 1 1 1 4 10 -66.7000 0.0000 9.8000 421.3750 -27.5800 -533.3500 -0.0654 -1.0557 234.8000
-2 1 1 1 4 11 -62.5000 0.0000 9.8000 421.3750 -23.3800 -533.3500 -0.0554 -1.0562 234.8000
-2 1 1 1 4 12 -58.3000 0.0000 9.8000 421.3750 -19.1800 -533.3500 -0.0455 -1.0566 234.8000
-2 1 1 1 4 13 -54.1000 0.0000 9.8000 421.3750 -14.9800 -533.3500 -0.0355 -1.0569 234.8000
-2 1 1 1 4 14 -49.9000 0.0000 9.8000 421.3750 -10.7800 -533.3500 -0.0256 -1.0571 234.8000
-2 1 1 1 4 15 -45.7000 0.0000 9.8000 421.3750 -6.5800 -533.3500 -0.0156 -1.0573 234.8000
-2 1 1 1 4 16 -41.5000 0.0000 9.8000 421.3750 -2.3800 -533.3500 -0.0056 -1.0574 234.8000
-2 1 1 1 4 17 -37.3000 0.0000 9.8000 421.3750 1.8200 -533.3500 0.0043 -1.0574 234.8000
-2 1 1 1 4 18 -33.1000 0.0000 9.8000 421.3750 6.0200 -533.3500 0.0143 -1.0573 234.8000
-2 1 1 1 4 19 -28.9000 0.0000 9.8000 421.3750 10.2200 -533.3500 0.0242 -1.0572 234.8000
-2 1 1 1 4 20 -24.7000 0.0000 9.8000 421.3750 14.4200 -533.3500 0.0342 -1.0569 234.8000
-2 1 1 1 4 21 -20.5000 0.0000 9.8000 421.3750 18.6200 -533.3500 0.0442 -1.0566 234.8000
-2 1 1 1 4 22 -16.3000 0.0000 9.8000 421.3750 22.8200 -533.3500 0.0541 -1.0562 234.8000
-2 1 1 1 4 23 -12.1000 0.0000 9.8000 421.3750 27.0200 -533.3500 0.0640 -1.0558 234.8000
-2 1 1 1 4 24 -7.9000 0.0000 9.8000 421.3750 31.2200 -533.3500 0.0740 -1.0552 234.8000
-2 1 1 1 4 25 -3.7000 0.0000 9.8000 421.3750 35.4200 -533.3500 0.0839 -1.0546 234.8000
-2 1 1 1 4 26 0.5000 0.0000 9.8000 421.3750 39.6200 -533.3500 0.0937 -1.0539 234.8000
-2 1 1 1 4 27 4.7000 0.0000 9.8000 421.3750 43.8200 -533.3500 0.1036 -1.0532 234.8000
-2 1 1 1 4 28 8.9000 0.0000 9.8000 421.3750 48.0200 -533.3500 0.1135 -1.0523 234.8000
-2 1 1 1 4 29 13.1000 0.0000 9.8000 421.3750 52.2200 -533.3500 0.1233 -1.0514 234.8000
-2 1 1 1 4 30 17.3000 0.0000 9.8000 421.3750 56.4200 -533.3500 0.1331 -1.0504 234.8000
-2 1 1 1 4 31 21.5000 0.0000 9.8000 421.3750 60.6200 -533.3500 0.1429 -1.0494 234.8000
-2 1 1 1 4 32 25.7000 0.0000 9.8000 421.3750 64.8200 -533.3500 0.1526 -1.0482 234.8000
-2 1 1 1 4 33 29.9000 0.0000 9.8000 421.3750 69.0200 -533.3500 0.1624 -1.0470 234.8000
-2 1 1 1 4 34 34.1000 0.0000 9.8000 421.3750 73.2200 -533.3500 0.1720 -1.0457 234.8000
-2 1 1 1 4 35 38.3000 0.0000 9.8000 421.3750 77.4200 -533.3500 0.1817 -1.0444 234.8000
-2 1 1 1 4 36 42.5000 0.0000 9.8000 421.3750 81.6200 -533.3500 0.1913 -1.0430 234.8000
-2 1 1 1 4 37 46.7000 0.0000 9.8000 421.3750 85.8200 -533.3500 0.2009 -1.0415 234.8000
-2 1 1 1 4 38 50.9000 0.0000 9.8000 421.3750 90.0200 -533.3500 0.2105 -1.0400 234.8000
-2 1 1 1 4 39 55.1000 0.0000 9.8000 421.3750 94.2200 -533.3500 0.2200 -1.0383 234.8000
-2 1 1 1 4 40 59.3000 0.0000 9.8000 421.3750 98.4200 -533.3500 0.2295 -1.0367 234.8000
-2 1 1 1 4 41 63.5000 0.0000 9.8000 421.3750 102.6200 -533.3500 0.2389 -1.0349 234.8000
-2 1 1 1 4 42 67.7000 0.0000 9.8000 421.3750 106.8200 -533.3500 0.2483 -1.0331 234.8000
-2 1 1 1 4 43 71.9000 0.0000 9.8000 421.3750 111.0200 -533.3500 0.2576 -1.0312 234.8000
-2 1 1 1 4 44 76.1000 0.0000 9.8000 421.3750 115.2200 -533.3500 0.2669 -1.0293 234.8000
-2 1 1 1 4 45 80.3000 0.0000 9.8000 421.3750 119.4200 -533.3500 0.2762 -1.0273 234.8000
-2 1 1 1 4 46 84.5000 0.0000 9.8000 421.3750 123.6200 -533.3500 0.2854 -1.0253 234.8000
-2 1 1 1 4 47 88.7000 0.0000 9.8000 421.3750 127.8200 -533.3500 0.2945 -1.0231 234.8000
-2 1 1 1 4 48 92.9000 0.0000 9.8000 421.3750 132.0200 -533.3500 0.3036 -1.0210 234.8000
-2 1 1 1 4 49 97.1000 0.0000 9.8000 421.3750 136.2200 -533.3500 0.3127 -1.0188 234.8000
-2 1 1 3 1 1 -100.3000 0.0000 -9.8000 440.9750 -61.1800 -533.3500 -0.1379 -1.0147 234.8000
-2 1 1 3 1 2 -96.1000 0.0000 -9.8000 440.9750 -56.9800 -533.3500 -0.1285 -1.0157 234.8000
-2 1 1 3 1 3 -91.9000 0.0000 -9.8000 440.9750 -52.7800 -533.3500 -0.1191 -1.0166 234.8000
-2 1 1 3 1 4 -87.7000 0.0000 -9.8000 440.9750 -48.5800 -533.3500 -0.1097 -1.0174 234.8000
-2 1 1 3 1 5 -83.5000 0.0000 -9.8000 440.9750 -44.3800 -533.3500 -0.1003 -1.0181 234.8000
-2 1 1 3 1 6 -79.3000 0.0000 -9.8000 440.9750 -40.1800 -533.3500 -0.0909 -1.0188 234.8000
-2 1 1 3 1 7 -75.1000 0.0000 -9.8000 440.9750 -35.9800 -533.3500 -0.0814 -1.0195 234.8000
-2 1 1 3 1 8 -70.9000 0.0000 -9.8000 440.9750 -31.7800 -533.3500 -0.0719 -1.0200 234.8000
-2 1 1 3 1 9 -66.7000 0.0000 -9.8000 440.9750 -27.5800 -533.3500 -0.0625 -1.0205 234.8000
-2 1 1 3 1 10 -62.5000 0.0000 -9.8000 440.9750 -23.3800 -533.3500 -0.0530 -1.0209 234.8000
-2 1 1 3 1 11 -58.3000 0.0000 -9.8000 440.9750 -19.1800 -533.3500 -0.0435 -1.0213 234.8000
-2 1 1 3 1 12 -54.1000 0.0000 -9.8000 440.9750 -14.9800 -533.3500 -0.0340 -1.0216 234.8000
-2 1 1 3 1 13 -49.9000 0.0000 -9.8000 440.9750 -10.7800 -533.3500 -0.0244 -1.0218 234.8000
-2 1 1 3 1 14 -45.7000 0.0000 -9.8000 440.9750 -6.5800 -533.3500 -0.0149 -1.0219 234.8000
-2 1 1 3 1 15 -41.5000 0.0000 -9.8000 440.9750 -2.3800 -533.3500 -0.0054 -1.0220 234.8000
-2 1 1 3 1 16 -37.3000 0.0000 -9.8000 440.9750 1.8200 -533.3500 0.0041 -1.0220 234.8000
-2 1 1 3 1 17 -33.1000 0.0000 -9.8000 440.9750 6.0200 -533.3500 0.0137 -1.0220 234.8000
-2 1 1 3 1 18 -28.9000 0.0000 -9.8000 440.9750 10.2200 -533.3500 0.0232 -1.0218 234.8000
-2 1 1 3 1 19 -24.7000 0.0000 -9.8000 440.9750 14.4200 -533.3500 0.0327 -1.0216 234.8000
-2 1 1 3 1 20 -20.5000 0.0000 -9.8000 440.9750 18.6200 -533.3500 0.0422 -1.0213 234.8000
-2 1 1 3 1 21 -16.3000 0.0000 -9.8000 440.9750 22.8200 -533.3500 0.0517 -1.0210 234.8000
-2 1 1 3 1 22 -12.1000 0.0000 -9.8000 440.9750 27.0200 -533.3500 0.0612 -1.0206 234.8000
-2 1 1 3 1 23 -7.9000 0.0000 -9.8000 440.9750 31.2200 -533.3500 0.0707 -1.0201 234.8000
-2 1 1 3 1 24 -3.7000 0.0000 -9.8000 440.9750 35.4200 -533.3500 0.0801 -1.0196 234.8000
-2 1 1 3 1 25 0.5000 0.0000 -9.8000 440.9750 39.6200 -533.3500 0.0896 -1.0189 234.8000
-2 1 1 3 1 26 4.7000 0.0000 -9.8000 440.9750 43.8200 -533.3500 0.0990 -1.0182 234.8000
-2 1 1 3 1 27 8.9000 0.0000 -9.8000 440.9750 48.0200 -533.3500 0.1085 -1.0175 234.8000
-2 1 1 3 1 28 13.1000 0.0000 -9.8000 440.9750 52.2200 -533.3500 0.1179 -1.0167 234.8000
